Armed and Dangerous;2003;Planet Moon Studios;LucasArts,;Shooter
Armies of Exigo;2004;Black Hole Entertainment;Electronic Arts;Real Time Strategy (RTS) Strategy
Army Men: Air Tactics;2000;3DO;3DO;Strategy
Army Men: RTS;2002;Pandemic Studios;3DO;Real Time Strategy (RTS) Strategy
Army Men: Sarges Heroes;1999;3DO;3DO;Shooter
Army Men: Sarges War;2004;Global Star Software;Global Star Software;Shooter
Arthur and the Invisibles;2007;Etranges Libellules;Atari;Platform
Arthurs Knights;2001;Dreamcatcher Interactive;Cryo Interactive DreamCatcher Interactive;Role-playing (RPG) Adventure
Arthurs Knights II: The Secret of Merlin;2001;Cryo Interactive;Wanadoo Edition;Adventure
Arx Fatalis;2002;Arkane Studios;JoWooD;Role-playing (RPG) Adventure
Asda Story;2008;MaxOn Soft Corp;gamescampus.com;Role-playing (RPG)
Asherons Call;1999;Turbine Entertainment Software;Microsoft Turbine Entertainment Software;Role-playing (RPG)
Asherons Call 2: Fallen Kings;2002;Turbine Entertainment Software;Turbine Entertainment Software;Role-playing (RPG)
Ashes Cricket 2009;2009;Transmission Games;Codemasters Atari;Sport
Assassins Creed;2008;Ubisoft Montreal;Ubisoft;Strategy Adventure
Assassins Creed II;2009;Ubisoft Montreal;Ubisoft;Adventure
Assassins Creed III;2012;Ubisoft Montreal;Ubisoft;Adventure
Assassins Creed IV: Black Flag;2013;Ubisoft Montreal;Ubisoft;Adventure
Assassins Creed Odyssey;2018;Ubisoft Quebec;Ubisoft;Adventure
Assassins Creed Origins;2017;Ubisoft Montreal;Ubisoft;Role-playing (RPG) Adventure
Assassins Creed Syndicate;2016;Ubisoft Quebec;Ubisoft;Adventure
Assassins Creed Valhalla;2020;Ubisoft Quebec;Ubisoft;Role-playing (RPG) Adventure
Assassins Creed: Brotherhood;2010;Ubisoft Montreal;Ubisoft;Adventure
Assassins Creed: Revelations;2011;Ubisoft Montreal;Ubisoft;Adventure
Assault Heroes;2006;Wanako Games;Sierra Online;Shooter
AssaultCube;2006;Rabid Viper Productions;;Shooter
Asterix & Obelix;1996;Infogrames;Infogrames;"Fighting ""Hack and slash/Beat em up"" Arcade"
Asterix & Obelix XXL;2004;Etranges Libellules;Atari;Platform Adventure
Asterix & Obelix XXL 2: Mission: Las Vegum;2005;Etranges Libellules;Atari;Platform
Asterix at the Olympic Games;2008;Etranges Libellules;Atari;Platform Sport Adventure
Asteroids;1998;Activision;Activision;Shooter Indie Arcade
