1.4	1.17E+01	232.1	3.26E-01
1.6	8.08E+00	200.9	3.02E-01
1.941	2.13E+01	171	6.47E-01
2.001	1.10E+01	152.2	2.38E+00
2.021	4.12E+00	149.2	2.78E+00
2.025	4.14E-01	148.3	1.41E+00
2.032	1.91E-01	147.9	3.74E-01
2.035	2.27E-03	147.5	1.04E-02
2.039	0.00E+00	147.3	0.00E+00
2.04	1.03E-05	147.1	1.43E-04
2.0404	2.41E-06	147	8.37E-05
2.0405	3.96E-07	147	5.49E-05
2.0412	4.55E-07	147	9.02E-06
2.04152	6.23E-09	147	2.70E-07
2.0422	4.40E-07	146.9	8.98E-06
2.0424	8.35E-07	146.9	5.80E-05
2.0428	2.70E-06	146.9	9.39E-05
2.0434	5.96E-06	146.8	1.38E-04
2.047	0.00E+00	146.7	0.00E+00
2.05	5.70E-04	146.4	2.66E-03
2.055	6.06E-02	146.2	1.70E-01
2.061	4.05E-01	145.8	9.52E-01
2.081	3.13E+00	144.9	2.24E+00
2.141	6.31E+00	142.1	1.56E+00
2.21555	2.63E+00	137.8	5.58E-01
2.2655	1.76E+00	133.9	5.88E-01
2.295	1.81E+00	131.6	1.06E+00
2.3	2.34E-01	130.6	8.22E-01
2.31	6.50E-02	130.2	1.15E-01
2.31355	3.28E-04	129.8	1.65E-03
2.3147	3.01E-06	129.6	4.68E-05
2.31525	3.01E-07	129.6	9.77E-06
2.31535	1.29E-08	129.6	2.30E-06
2.3154	3.22E-09	129.6	1.15E-06
2.31545	1.61E-09	129.6	5.77E-07
2.31565	1.20E-09	129.6	1.07E-07
2.3157	1.75E-09	129.6	6.25E-07
2.31575	3.38E-09	129.5	1.21E-06
2.31585	1.34E-08	129.5	2.40E-06
2.3163	2.20E-07	129.5	8.76E-06
2.31755	3.08E-06	129.5	4.40E-05
2.32	0.00E+00	129.4	0.00E+00
2.33	2.45E-02	129	4.41E-02
2.335	1.82E-01	128.6	6.62E-01
2.3655	1.44E+00	127.7	8.70E-01
2.3846	8.25E-01	126.3	8.12E-01
2.3896	2.54E-01	125.7	9.66E-01
2.3966	1.81E-01	125.4	4.95E-01
2.3986	9.98E-05	125.1	9.56E-04
2.3993	1.26E-06	125.1	3.46E-05
2.3995	7.94E-08	125	7.62E-06
2.3997	1.39E-09	125	1.33E-07
2.4	1.01E-07	125	6.45E-06
2.4006	9.16E-07	125	2.93E-05
2.4026	7.12E-05	124.9	6.84E-04
2.4096	1.71E-01	124.7	4.71E-01
2.4146	2.31E-01	124.4	8.96E-01
2.5067	1.67E+00	122	3.65E-01
2.51	1.05E-01	119.6	6.67E-01
2.51578	6.14E-02	119.4	2.24E-01
2.51648	0.00E+00	119.2	0.00E+00
2.51668	8.06E-09	119.2	8.50E-07
2.51673	7.57E-11	119.2	3.20E-08
2.51683	3.62E-09	119.2	7.64E-07
2.51688	2.01E-08	119.2	8.50E-06
2.51708	1.92E-07	119.2	2.03E-05
2.51778	0.00E+00	119.2	0.00E+00
2.52	1.07E-02	119.1	1.01E-01
2.5267	1.92E-01	118.9	6.07E-01
3	5.70E-03	109.4	3.04E-04
